"old_code","new_code_0","new_code_1","date_change_1","change_type_1","new_code_2","date_change_2","change_type_2","new_code_3","date_change_3","change_type_3","final_code","experiences_split","direct_path_complicated","adjacent_to_complicated","part_of_complicated_path"
"5HN","5HN","5N6",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N6",0,"no",0,0
"5HR","5HR","5PH",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PH",0,"no",0,0
"5HT","5HT","5PE",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PE",0,"no",0,0
"5HV","5HV","5PE",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PE",0,"no",0,0
"5HW","5HW","5PH",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PH",0,"no",0,0
"5J1","5J1","5NM",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NM",0,"no",0,0
"5J3","5J3","5NM",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NM",0,"no",0,0
"5J7","5J7","5N2",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N2",0,"no",0,0
"5J8","5J8","5ND",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5ND",0,"no",0,0
"5JA","5JA","5PA",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PA",0,"no",0,0
"5JC","5JC","5PA",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PA",0,"no",0,0
"5JD","5JD","5PA",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PA",0,"no",0,0
"5JF","5JF","5QJ",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QJ",0,"no",0,0
"5JG","5JG","5QJ",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QJ",0,"no",0,0
"5JH","5JH","5PP",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PP",0,"no",0,0
"5JJ","5JJ","5PP",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PP",0,"no",0,0
"5JK","5JK","5PP",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PP",0,"no",0,0
"5JL","5JL","5PQ",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PQ",0,"no",0,0
"5JM","5JM","5PQ",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PQ",0,"no",0,0
"5JN","5JN","5PX",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PX",0,"no",0,0
"5JP","5JP","5P1",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5P1",0,"no",0,0
"5JQ","5JQ","5PT",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PT",0,"no",0,0
"5JR","5JR","5PT",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PT",0,"no",0,0
"5JT","5JT","5PT",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PT",0,"no",0,0
"5JV","5JV","5PR",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PR",0,"no",0,0
"5JW","5JW","5PT",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PT",0,"no",0,0
"5JY","5JY","5NQ",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NQ",0,"no",0,0
"5K1","5K1","5QL",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QL",0,"no",0,0
"5K2","5K2","5QL",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QL",0,"no",0,0
"5K4","5K4","5QK",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QK",0,"no",0,0
"5KA","5KA","5ND",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5ND",0,"no",0,0
"5KC","5KC","5ND",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5ND",0,"no",0,0
"5KD","5KD","5ND",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5ND",0,"no",0,0
"5KE","5KE","5ND",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5ND",0,"no",0,0
"5KH","5KH","5NV",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NV",0,"no",0,0
"5KJ","5KJ","5NV",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NV",0,"no",0,0
"5KK","5KK","5NV",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NV",0,"no",0,0
"5KN","5KN","5QR",2006-10-01,"name_change",NA,NA,NA,NA,NA,NA,"5QR",0,"no",0,0
"5KP","5KP","5P5",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5P5",0,"no",0,0
"5KQ","5KQ","5P5",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5P5",0,"no",0,0
"5KR","5KR","5QP",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QP",0,"no",0,0
"5KT","5KT","5QP",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QP",0,"no",0,0
"5KV","5KV","5QN",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QN",0,"no",0,0
"5KW","5KW","5QH",2006-10-01,"merger","R1J",2013-04-01,"name_change",NA,NA,NA,"R1J",0,"no",0,0
"5KX","5KX","5QH",2006-10-01,"merger","R1J",2013-04-01,"name_change",NA,NA,NA,"R1J",0,"no",0,0
"5KY","5KY","5QH",2006-10-01,"merger","R1J",2013-04-01,"name_change",NA,NA,NA,"R1J",0,"no",0,0
"5L2","5L2","5P9",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5P9",0,"no",0,0
"5L4","5L4","5QA",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QA",0,"no",0,0
"5L5","5L5","5P5",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5P5",0,"no",0,0
"5L6","5L6","5P5",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5P5",0,"no",0,0
"5L7","5L7","5P5",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5P5",0,"no",0,0
"5L8","5L8","5P6",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5P6",0,"no",0,0
"5L9","5L9","5P6",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5P6",0,"no",0,0
"5LJ","5LJ","5N2",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N2",0,"no",0,0
"5LK","5LK","5N2",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N2",0,"no",0,0
"5LL","5LL","5QA",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QA",0,"no",0,0
"5LM","5LM","5QA",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QA",0,"no",0,0
"5LN","5LN","5QA",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QA",0,"no",0,0
"5LP","5LP","5QA",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QA",0,"no",0,0
"5LR","5LR","5P7",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5P7",0,"no",0,0
"5LT","5LT","5P7",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5P7",0,"no",0,0
"5LV","5LV","5PD",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PD",0,"no",1,1
"5LW","5LW","5PD",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PD",0,"no",1,1
"5LX","5LX","5QC",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QC",0,"no",0,0
"5LY","5LY","5QC",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QC",0,"no",0,0
"5M5","5M5","5NJ",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NJ",0,"no",0,0
"5M9","5M9","5PM",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PM",0,"no",0,0
"5MA","5MA","5P6",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5P6",0,"no",0,0
"5MC","5MC","5P6",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5P6",0,"no",0,0
"5ME","5ME","5PJ",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PJ",0,"no",0,0
"5MF","5MF","5PJ",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PJ",0,"no",0,0
"5MG","5MG","5PF",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PF",0,"no",0,0
"5MH","5MH","5PF",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PF",0,"no",0,0
"5MJ","5MJ","5PF",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PF",0,"no",0,0
"5ML","5ML","5PK",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PK",0,"no",0,0
"5MM","5MM","5PK",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PK",0,"no",0,0
"5MN","5MN","5PK",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PK",0,"no",0,0
"5MP","5MP","5PM",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PM",0,"no",0,0
"5MQ","5MQ","5PM",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PM",0,"no",0,0
"5MR","5MR","5PL",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PL",0,"no",0,0
"5MT","5MT","5PL",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PL",0,"no",0,0
"5MW","5MW","5PG",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PG",0,"no",0,0
"5MY","5MY","5PG",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PG",0,"no",0,0
"610","610","625",2009-04-01,"split",NA,NA,NA,NA,NA,NA,"625",1,"no",0,0
"610","610","626",2009-04-01,"split",NA,NA,NA,NA,NA,NA,"626",1,"no",0,0
"610","610","611",2009-04-01,"split",NA,NA,NA,NA,NA,NA,"611",1,"no",0,0
"6A1","6A1","7A6",2009-10-01,"merger",NA,NA,NA,NA,NA,NA,"7A6",0,"no",0,0
"6A2","6A2","7A1",2009-10-01,"merger",NA,NA,NA,NA,NA,NA,"7A1",0,"no",0,0
"6A3","6A3","7A2",2009-10-01,"merger",NA,NA,NA,NA,NA,NA,"7A2",0,"no",0,0
"6A4","6A4","7A2",2009-10-01,"merger",NA,NA,NA,NA,NA,NA,"7A2",0,"no",0,0
"6A5","6A5","7A3",2009-10-01,"merger",NA,NA,NA,NA,NA,NA,"7A3",0,"no",0,0
"6A6","6A6","7A3",2009-10-01,"merger",NA,NA,NA,NA,NA,NA,"7A3",0,"no",0,0
"6A7","6A7","7A1",2009-10-01,"merger",NA,NA,NA,NA,NA,NA,"7A1",0,"no",0,0
"6A8","6A8","7A4",2009-10-01,"merger",NA,NA,NA,NA,NA,NA,"7A4",0,"no",0,0
"6A9","6A9","7A5",2009-10-01,"merger",NA,NA,NA,NA,NA,NA,"7A5",0,"no",0,0
"6B1","6B1","7A1",2009-10-01,"merger",NA,NA,NA,NA,NA,NA,"7A1",0,"no",0,0
"6B2","6B2","7A6",2009-10-01,"merger",NA,NA,NA,NA,NA,NA,"7A6",0,"no",0,0
"6B3","6B3","7A3",2009-10-01,"merger",NA,NA,NA,NA,NA,NA,"7A3",0,"no",0,0
"6B4","6B4","7A1",2009-10-01,"merger",NA,NA,NA,NA,NA,NA,"7A1",0,"no",0,0
"6B5","6B5","7A1",2009-10-01,"merger",NA,NA,NA,NA,NA,NA,"7A1",0,"no",0,0
"6B6","6B6","7A4",2009-10-01,"merger",NA,NA,NA,NA,NA,NA,"7A4",0,"no",0,0
"6B7","6B7","7A2",2009-10-01,"merger",NA,NA,NA,NA,NA,NA,"7A2",0,"no",0,0
"6B8","6B8","7A5",2009-10-01,"merger",NA,NA,NA,NA,NA,NA,"7A5",0,"no",0,0
"6B9","6B9","7A6",2009-10-01,"merger",NA,NA,NA,NA,NA,NA,"7A6",0,"no",0,0
"6C1","6C1","7A1",2009-10-01,"merger",NA,NA,NA,NA,NA,NA,"7A1",0,"no",0,0
"6C2","6C2","7A6",2009-10-01,"merger",NA,NA,NA,NA,NA,NA,"7A6",0,"no",0,0
"6C3","6C3","7A6",2009-10-01,"merger",NA,NA,NA,NA,NA,NA,"7A6",0,"no",0,0
"6C4","6C4","7A7",2009-10-01,"name_change",NA,NA,NA,NA,NA,NA,"7A7",0,"no",0,0
"DL5","DL5","8JN89",2017-10-01,"name_change",NA,NA,NA,NA,NA,NA,"8JN89",0,"no",0,0
"N97","N97","N95",2011-04-01,"merger",NA,NA,NA,NA,NA,NA,"N95",0,"no",0,0
"N98","N98","N95",2011-04-01,"merger",NA,NA,NA,NA,NA,NA,"N95",0,"no",0,0
"Q01","Q01","Q35",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"Q35",0,"no",0,0
"Q02","Q02","Q35",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"Q35",0,"no",0,0
"Q03","Q03","Q35",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"Q35",0,"no",0,0
"Q04","Q04","Q36",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"Q36",0,"no",0,0
"Q05","Q05","Q36",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"Q36",0,"no",0,0
"Q06","Q06","Q36",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"Q36",0,"no",0,0
"Q07","Q07","Q36",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"Q36",0,"no",0,0
"Q08","Q08","Q36",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"Q36",0,"no",0,0
"Q09","Q09","Q30",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"Q30",0,"no",0,0
"Q10","Q10","Q30",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"Q30",0,"no",0,0
"Q11","Q11","Q32",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"Q32",0,"no",0,0
"Q12","Q12","Q32",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"Q32",0,"no",0,0
"Q13","Q13","Q31",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"Q31",0,"no",0,0
"Q14","Q14","Q31",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"Q31",0,"no",0,0
"Q15","Q15","Q31",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"Q31",0,"no",0,0
"Q16","Q16","Q38",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"Q38",0,"no",0,0
"Q17","Q17","Q38",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"Q38",0,"no",0,0
"Q18","Q18","Q37",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"Q37",0,"no",0,0
"Q19","Q19","Q37",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"Q37",0,"no",0,0
"Q20","Q20","Q39",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"Q39",0,"no",0,0
"Q21","Q21","Q39",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"Q39",0,"no",0,0
"Q22","Q22","Q39",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"Q39",0,"no",0,0
"Q23","Q23","Q32",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"Q32",0,"no",0,0
"Q24","Q24","Q33",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"Q33",0,"no",0,0
"Q25","Q25","Q33",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"Q33",0,"no",0,0
"Q26","Q26","Q34",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"Q34",0,"no",0,0
"Q27","Q27","Q34",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"Q34",0,"no",0,0
"Q28","Q28","Q34",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"Q34",0,"no",0,0
"Q44","Q44","Q75",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"Q75",0,"no",0,0
"Q45","Q45","Q74",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"Q74",0,"no",0,0
"Q48","Q48","Q75",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"Q75",0,"no",0,0
"Q49","Q49","Q74",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"Q74",0,"no",0,0
"Q50","Q50","Q72",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"Q72",0,"no",0,0
"Q51","Q51","Q72",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"Q72",0,"no",0,0
"Q52","Q52","Q72",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"Q72",0,"no",0,0
"Q53","Q53","Q77",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"Q77",0,"no",0,0
"Q54","Q54","Q77",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"Q77",0,"no",0,0
"Q55","Q55","Q76",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"Q76",0,"no",0,0
"Q56","Q56","Q79",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"Q79",0,"no",0,0
"Q57","Q57","Q79",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"Q79",0,"no",0,0
"Q58","Q58","Q78",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"Q78",0,"no",0,0
"Q59","Q59","Q78",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"Q78",0,"no",0,0
"Q60","Q60","Q76",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"Q76",0,"no",0,0
"Q64","Q64","Q82",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"Q82",0,"no",0,0
"Q65","Q65","Q80",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"Q80",0,"no",0,0
"Q66","Q66","Q80",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"Q80",0,"no",0,0
"Q67","Q67","Q81",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"Q81",0,"no",0,0
"Q68","Q68","Q81",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"Q81",0,"no",0,0
"Q69","Q69","Q82",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"Q82",0,"no",0,0
"Q73","Q73","Q84",2016-04-01,"split",NA,NA,NA,NA,NA,NA,"Q84",1,"no",0,0
"Q73","Q73","Q83",2016-04-01,"split",NA,NA,NA,NA,NA,NA,"Q83",1,"no",0,0
"QMK","QMK","QHM",2018-04-01,"merger",NA,NA,NA,NA,NA,NA,"QHM",0,"no",0,0
"QT8","QT8","QHM",2018-04-01,"merger",NA,NA,NA,NA,NA,NA,"QHM",0,"no",0,0
"QVP","QVP","QHM",2018-04-01,"merger",NA,NA,NA,NA,NA,NA,"QHM",0,"no",0,0
"R1E","R1E","RRE",2018-05-31,"merger",NA,NA,NA,NA,NA,NA,"RRE",0,"no",0,0
"R1G","R1G","RA9",2015-10-01,"name_change",NA,NA,NA,NA,NA,NA,"RA9",0,"no",0,0
"RA0","RA0","5K9",2002-04-01,"name_change",NA,NA,NA,NA,NA,NA,"5K9",0,"no",0,0
"RA5","RA5","RTE",2002-04-01,"split",NA,NA,NA,NA,NA,NA,"RTE",1,"no",0,1
"RA5","RA5","RTQ",2002-04-01,"split",NA,NA,NA,NA,NA,NA,"RTQ",1,"no",0,1
"RAF","RAF","RHQ",2001-04-01,"merger",NA,NA,NA,NA,NA,NA,"RHQ",0,"no",0,0
"RAG","RAG","RP5",2001-04-01,"merger",NA,NA,NA,NA,NA,NA,"RP5",0,"no",1,1
"RAQ","RAQ","RWH",2000-04-01,"merger",NA,NA,NA,NA,NA,NA,"RWH",0,"no",0,0
"RB4","RB4","RYC",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"RYC",0,"no",0,0
"RB6","RB6","RX7",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"RX7",0,"no",0,0
"RB7","RB7","RYA",2007-10-01,"merger",NA,NA,NA,NA,NA,NA,"RYA",0,"no",0,0
"RB8","RB8","RX8",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"RX8",0,"no",1,1
"RBB","RBB","RD1",2015-02-01,"name_change",NA,NA,NA,NA,NA,NA,"RD1",0,"no",0,0
"RBF","RBF","RTH",2011-11-02,"name_change",NA,NA,NA,NA,NA,NA,"RTH",0,"no",0,0
"RBG","RBG","RRE",2001-04-01,"merger",NA,NA,NA,NA,NA,NA,"RRE",0,"no",0,0
"RBH","RBH","RRE",2001-04-01,"merger",NA,NA,NA,NA,NA,NA,"RRE",0,"no",0,0
"RBP","RBP","RTV",2002-04-01,"merger",NA,NA,NA,NA,NA,NA,"RTV",0,"no",1,1
"RBU","RBU","RW3",2001-04-01,"merger","R0A",2017-10-01,"name_change",NA,NA,NA,"R0A",0,"no",0,0
"RBX","RBX","RX9",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"RX9",0,"no",1,1
"RC3","RC3","R1K",2014-10-01,"merger",NA,NA,NA,NA,NA,NA,"R1K",0,"no",0,0
"RC4","RC4","RWH",2000-04-01,"merger",NA,NA,NA,NA,NA,NA,"RWH",0,"no",0,0
"RC8","RC8","RWR",2001-04-01,"merger",NA,NA,NA,NA,NA,NA,"RWR",0,"no",0,0
"RCA","RCA","RTR",2002-04-01,"merger",NA,NA,NA,NA,NA,NA,"RTR",0,"no",0,0
"RCC","RCC","RCB",2012-07-01,"name_change",NA,NA,NA,NA,NA,NA,"RCB",0,"no",0,0
"RCE","RCE","TAD",2002-04-01,"name_change",NA,NA,NA,NA,NA,NA,"TAD",0,"no",0,0
"RCJ","RCJ","RTR",2002-04-01,"merger",NA,NA,NA,NA,NA,NA,"RTR",0,"no",0,0
"RCN","RCN","5JE",2002-04-01,"name_change",NA,NA,NA,NA,NA,NA,"5JE",0,"no",0,0
"RCP","RCP","RHA",2001-04-01,"split",NA,NA,NA,NA,NA,NA,"RHA",1,"split_from_multiple",0,1
"RCP","RCP","5ET",2001-04-01,"split",NA,NA,NA,NA,NA,NA,"5ET",1,"no",0,0
"RCP","RCP","RP5",2001-04-01,"split",NA,NA,NA,NA,NA,NA,"RP5",1,"no",0,1
"RCS","RCS","RX1",2006-04-01,"merger",NA,NA,NA,NA,NA,NA,"RX1",0,"no",0,0
"RCT","RCT","5EM",2001-04-01,"merger",NA,NA,NA,NA,NA,NA,"5EM",0,"no",1,1
"RCV","RCV","RHQ",2001-04-01,"merger",NA,NA,NA,NA,NA,NA,"RHQ",0,"no",0,0
"RCZ","RCZ","RRP",2001-04-01,"split",NA,NA,NA,NA,NA,NA,"RRP",1,"split_from_multiple",0,1
"RCZ","RCZ","5A9",2001-04-01,"split",NA,NA,NA,NA,NA,NA,"5A9",1,"no",0,0
"RD2","RD2","5FL",2001-04-01,"name_change",NA,NA,NA,NA,NA,NA,"5FL",0,"no",0,0
"RD6","RD6","RWX",2001-04-01,"merger",NA,NA,NA,NA,NA,NA,"RWX",0,"no",0,0
"RD7","RD7","RDU",2014-10-01,"name_change",NA,NA,NA,NA,NA,NA,"RDU",0,"no",0,0
"RD9","RD9","5CQ",2000-10-01,"name_change",NA,NA,NA,NA,NA,NA,"5CQ",0,"no",0,0
"RDA","RDA","5K5",2002-04-01,"split",NA,NA,NA,NA,NA,NA,"5K5",1,"no",0,0
"RDA","RDA","5LA",2002-04-01,"split",NA,NA,NA,NA,NA,NA,"5LA",1,"no",0,0
"RDA","RDA","5LC",2002-04-01,"split",NA,NA,NA,NA,NA,NA,"5LC",1,"no",0,0
"RDF","RDF","RAT",2001-04-01,"split",NA,NA,NA,NA,NA,NA,"RAT",1,"split_from_multiple",0,1
"RDF","RDF","RGC",2001-04-01,"split","R1H",2012-04-01,"name_change",NA,NA,NA,"R1H",1,"later_name_change",0,1
"RDJ","RDJ","RRD",2001-04-01,"merger","R1L",2017-04-01,"merger",NA,NA,NA,"R1L",0,"no",0,0
"RDK","RDK","RWN",2000-04-01,"merger","R1L",2017-04-01,"merger",NA,NA,NA,"R1L",0,"no",0,0
"RDL","RDL","RXC",2002-04-01,"merger",NA,NA,NA,NA,NA,NA,"RXC",0,"no",1,1
"RDM","RDM","RXD",2002-04-01,"split","RX2",2006-04-01,"merger",NA,NA,NA,"RX2",1,"later_merger",0,1
"RDM","RDM","RXC",2002-04-01,"split",NA,NA,NA,NA,NA,NA,"RXC",1,"no",0,1
"RDQ","RDQ","5A7",2001-04-01,"name_change",NA,NA,NA,NA,NA,NA,"5A7",0,"no",0,0
"RE6","RE6","RX7",2006-07-01,"merger",NA,NA,NA,NA,NA,NA,"RX7",0,"no",0,0
"RE7","RE7","RNL",2001-04-01,"split",NA,NA,NA,NA,NA,NA,"RNL",1,"no",0,1
"RE7","RE7","RNN",2001-04-01,"split",NA,NA,NA,NA,NA,NA,"RNN",1,"no",0,1
"REA","REA","RWV",2001-04-01,"name_change",NA,NA,NA,NA,NA,NA,"RWV",0,"no",0,0
"RED","RED","5F1",2001-04-01,"name_change",NA,NA,NA,NA,NA,NA,"5F1",0,"no",0,0
"REH","REH","5CN",2000-10-01,"name_change",NA,NA,NA,NA,NA,NA,"5CN",0,"no",0,0
"RER","RER","5J4",2002-04-01,"split",NA,NA,NA,NA,NA,NA,"5J4",1,"no",0,0
"RER","RER","RTV",2002-04-01,"split",NA,NA,NA,NA,NA,NA,"RTV",1,"split_from_multiple",0,1
"RES","RES","RW4",2002-04-01,"merger",NA,NA,NA,NA,NA,NA,"RW4",0,"no",1,1
"REU","REU","RXR",2003-04-01,"merger",NA,NA,NA,NA,NA,NA,"RXR",0,"no",0,0
"REX","REX","5J5",2002-04-01,"split",NA,NA,NA,NA,NA,NA,"5J5",1,"no",0,0
"REX","REX","RT2",2002-04-01,"split",NA,NA,NA,NA,NA,NA,"RT2",1,"split_from_multiple",0,1
"REX","REX","RW6",2002-04-01,"split",NA,NA,NA,NA,NA,NA,"RW6",1,"split_from_multiple",0,1
"REY","REY","RRF",2001-04-01,"merger",NA,NA,NA,NA,NA,NA,"RRF",0,"no",0,0
